insurer,lob,vehicle_type,policy_type,policy_term,coverage_level,coverage_name,claim_category,claim_trigger,frequency_band,severity_band,avg_claim_amount_inr,max_claim_amount_inr,deductible_applicable,depreciation_applicable,ncb_impact,renewal_impact,fraud_risk_level,loss_ratio_risk,mandatory_documents,common_denial_reasons,profitability_tag,claim_frequency,loss_ratio,pure_premium,risk_loading_factor,volatility_index,risk_zone,state,city,flood_risk_score,theft_risk_score,accident_density_score,avg_settlement_days,fast_track_eligible,cashless_ratio,document_deficiency_rate,repudiation_rate
ACKO,Motor,Private Car,Package,Annual,Base,Own Damage,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.51,Urban,Gujarat,Ahmedabad,0.53,0.54,0.57,13,False,0.75,0.25,0.03
ACKO,Motor,Private Car,Package,Annual,Base,Third Party,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.36,Urban,Gujarat,Mumbai,0.82,0.68,0.71,13,False,0.58,0.25,0.03
ACKO,Motor,Private Car,Package,Annual,Base,Personal Accident,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.64,Rural,Maharashtra,Mumbai,0.38,0.47,0.82,9,False,0.69,0.25,0.03
ACKO,Motor,Private Car,Package,Annual,Addon,Zero Depreciation,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.62,Urban,Gujarat,Bangalore,0.84,0.61,0.57,9,False,0.72,0.25,0.08
ACKO,Motor,Private Car,Package,Annual,Addon,Engine Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.25,Rural,Tamil Nadu,Mumbai,0.61,0.66,0.37,14,False,0.55,0.25,0.08
ACKO,Motor,Private Car,Package,Annual,Addon,Gearbox Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.4,Urban,Karnataka,Ahmedabad,0.5,0.26,0.84,7,False,0.74,0.25,0.08
ACKO,Motor,Private Car,Package,Annual,Addon,Consumables,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.68,Urban,Delhi,Bangalore,0.63,0.47,0.51,8,False,0.65,0.25,0.08
ACKO,Motor,Private Car,Package,Annual,Addon,Tyre Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.52,Rural,Gujarat,Ahmedabad,0.69,0.61,0.66,9,False,0.7,0.25,0.08
ACKO,Motor,Private Car,Package,Annual,Addon,Roadside Assistance,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.64,Urban,Tamil Nadu,Chennai,0.77,0.6,0.69,11,False,0.55,0.25,0.08
ACKO,Motor,Private Car,Package,Annual,Addon,NCB Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.57,Urban,Karnataka,Bangalore,0.67,0.23,0.89,7,False,0.58,0.25,0.08
ACKO,Motor,Private Car,Package,Annual,Addon,Return to Invoice,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.31,Urban,Delhi,Bangalore,0.65,0.24,0.46,14,False,0.69,0.25,0.08
ACKO,Motor,Private Car,Package,Annual,Addon,Invoice Cover,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.51,Rural,Gujarat,Delhi,0.46,0.69,0.68,8,False,0.76,0.25,0.08
ACKO,Motor,Private Car,Package,Annual,Addon,PAYD Benefit,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.4,Metro,Gujarat,Ahmedabad,0.33,0.47,0.72,13,False,0.83,0.25,0.08
ACKO,Motor,Private Car,Package,Annual,Addon,EV Addon,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.55,Metro,Gujarat,Ahmedabad,0.77,0.26,0.75,7,False,0.51,0.25,0.08
ACKO,Motor,Private Car,Package,Annual,Addon,EMI Protector,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.31,Urban,Tamil Nadu,Chennai,0.68,0.56,0.35,14,False,0.59,0.25,0.08
ACKO,Motor,Private Car,Package,Annual,Addon,Loss of Use,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.53,Urban,Tamil Nadu,Bangalore,0.61,0.59,0.39,14,False,0.68,0.25,0.08
ACKO,Motor,Private Car,Package,Annual,Addon,Key Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.61,Urban,Maharashtra,Mumbai,0.7,0.48,0.82,11,False,0.54,0.25,0.08
ACKO,Motor,Private Car,Package,Annual,Addon,Personal Belongings,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.64,Metro,Delhi,Bangalore,0.71,0.48,0.86,10,False,0.75,0.25,0.08
ACKO,Motor,Private Car,Bundled,Annual,Base,Own Damage,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.34,Rural,Gujarat,Chennai,0.57,0.57,0.74,8,False,0.73,0.25,0.03
ACKO,Motor,Private Car,Bundled,Annual,Base,Third Party,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.66,Urban,Tamil Nadu,Delhi,0.74,0.66,0.55,14,False,0.56,0.25,0.03
ACKO,Motor,Private Car,Bundled,Annual,Base,Personal Accident,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.35,Metro,Delhi,Mumbai,0.35,0.37,0.75,11,False,0.52,0.25,0.03
ACKO,Motor,Private Car,Bundled,Annual,Addon,Zero Depreciation,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.39,Urban,Karnataka,Bangalore,0.61,0.37,0.79,8,False,0.75,0.25,0.08
ACKO,Motor,Private Car,Bundled,Annual,Addon,Engine Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.46,Metro,Maharashtra,Bangalore,0.5,0.5,0.84,14,False,0.68,0.25,0.08
ACKO,Motor,Private Car,Bundled,Annual,Addon,Gearbox Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.4,Metro,Gujarat,Ahmedabad,0.54,0.43,0.54,8,False,0.75,0.25,0.08
ACKO,Motor,Private Car,Bundled,Annual,Addon,Consumables,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.25,Urban,Karnataka,Bangalore,0.56,0.6,0.71,14,False,0.74,0.25,0.08
ACKO,Motor,Private Car,Bundled,Annual,Addon,Tyre Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.68,Urban,Delhi,Ahmedabad,0.45,0.46,0.31,8,False,0.84,0.25,0.08
ACKO,Motor,Private Car,Bundled,Annual,Addon,Roadside Assistance,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.43,Metro,Delhi,Bangalore,0.73,0.61,0.66,9,False,0.79,0.25,0.08
ACKO,Motor,Private Car,Bundled,Annual,Addon,NCB Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.43,Metro,Gujarat,Chennai,0.74,0.48,0.79,9,False,0.65,0.25,0.08
ACKO,Motor,Private Car,Bundled,Annual,Addon,Return to Invoice,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.2,Metro,Karnataka,Ahmedabad,0.32,0.41,0.88,8,False,0.65,0.25,0.08
ACKO,Motor,Private Car,Bundled,Annual,Addon,Invoice Cover,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.47,Metro,Delhi,Delhi,0.74,0.56,0.35,10,False,0.84,0.25,0.08
ACKO,Motor,Private Car,Bundled,Annual,Addon,PAYD Benefit,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.62,Metro,Tamil Nadu,Ahmedabad,0.81,0.75,0.5,12,False,0.79,0.25,0.08
ACKO,Motor,Private Car,Bundled,Annual,Addon,EV Addon,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.67,Rural,Gujarat,Delhi,0.5,0.47,0.66,12,False,0.83,0.25,0.08
ACKO,Motor,Private Car,Bundled,Annual,Addon,EMI Protector,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.42,Rural,Karnataka,Mumbai,0.87,0.29,0.75,9,False,0.76,0.25,0.08
ACKO,Motor,Private Car,Bundled,Annual,Addon,Loss of Use,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.53,Urban,Gujarat,Chennai,0.53,0.51,0.32,12,False,0.56,0.25,0.08
ACKO,Motor,Private Car,Bundled,Annual,Addon,Key Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.27,Urban,Maharashtra,Chennai,0.36,0.71,0.51,7,False,0.57,0.25,0.08
ACKO,Motor,Private Car,Bundled,Annual,Addon,Personal Belongings,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.7,Rural,Maharashtra,Bangalore,0.71,0.26,0.49,9,False,0.76,0.25,0.08
ACKO,Motor,Private Car,Standalone Own Damage,Annual,Base,Own Damage,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.45,Urban,Maharashtra,Mumbai,0.71,0.43,0.85,10,False,0.64,0.25,0.03
